Weighted ABs,Weighted Hits,Weighted 2Bs,Weighted 3Bs,Weighted HRs,Weighted BBs,Weighted SBs,Avg Annual
1076.75,274.5,54.0,9.5,11.25,35.25,16.75,2500000
249.0,68.0,15.0,1.0,3.0,45.0,3.0,2400000
610.0,146.0,20.75,2.75,22.0,43.25,1.0,2375000
599.5,153.0,25.75,8.75,15.0,38.75,8.0,2350000
644.25,168.75,32.75,2.5,28.0,40.0,4.5,2300000
203.25,50.75,12.25,1.0,4.75,12.5,0.0,1900000
321.75,73.5,23.0,0.75,16.5,36.0,0.0,2100000
357.5,83.5,18.0,0.0,5.25,39.25,5.0,2225000
395.25,99.0,25.5,2.0,13.75,45.75,6.0,2000000
395.25,99.0,25.5,2.0,13.75,45.75,6.0,2000000
589.0,164.75,38.0,2.25,19.75,43.75,7.0,2000000
531.5,129.5,25.0,6.5,16.0,73.5,6.25,2000000
195.75,41.25,7.0,1.75,3.5,9.25,0.0,2000000
692.25,174.0,34.75,10.0,21.0,67.25,30.75,2000000
631.0,163.75,36.25,1.75,17.25,108.25,4.5,2000000
735.0,194.5,32.5,5.25,23.75,33.5,38.5,1975000
460.0,119.5,26.75,1.5,12.25,42.25,0.0,1950000
445.25,101.0,23.5,0.75,19.75,32.0,16.5,1900000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900000
676.5,163.75,36.25,3.5,14.0,51.75,61.25,1750000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000
516.5,118.0,15.75,3.25,14.25,41.0,25.0,1750000
480.0,125.25,18.75,2.75,13.75,37.0,11.75,1700000
291.0,59.5,12.75,1.75,8.25,47.75,0.0,2250000
550.75,142.75,26.75,3.5,5.75,42.5,11.25,4800000
459.0,94.75,30.0,2.0,16.25,62.0,4.5,1600000
756.75,212.25,46.25,6.0,27.25,66.0,8.5,5583333
417.0,119.0,26.0,1.0,25.0,21.0,1.0,4333333
323.0,76.0,9.0,1.5,5.25,25.75,3.75,1500000
492.5,140.25,39.0,0.75,13.25,22.0,7.0,1450000
453.0,123.25,24.75,2.75,5.75,24.5,7.0,1450000
365.75,79.0,12.0,0.75,12.0,51.5,1.75,1300000
380.0,88.5,14.75,1.75,9.0,21.25,6.75,1275000
353.0,82.25,16.25,1.0,8.0,15.25,0.0,1250000
271.25,57.75,11.0,0.0,7.5,26.25,1.5,1250000
803.25,216.25,35.5,3.75,27.75,70.75,2.75,1200000
417.5,115.0,25.0,2.0,1.75,35.25,3.5,1180000
336.0,89.25,15.75,2.75,9.75,13.75,9.5,1175000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090000
448.5,104.75,20.75,3.5,5.5,31.75,12.0,1050000
854.75,251.5,52.0,3.25,39.0,109.25,11.75,1000000
454.25,108.75,24.0,8.25,8.75,24.75,9.5,1000000
693.0,169.75,39.5,6.25,18.5,62.0,7.5,1000000
404.75,95.5,17.5,6.0,3.75,52.75,19.5,1000000
116.75,27.25,7.25,0.75,1.5,5.25,0.0,1000000
284.75,73.0,16.0,0.0,17.5,29.75,0.75,1000000
209.25,55.0,10.5,2.0,3.5,17.5,8.0,1000000
410.0,116.0,22.0,6.0,9.0,13.0,10.0,4166667
236.0,66.0,17.0,0.75,6.5,33.5,0.0,950000
333.75,80.0,18.75,2.75,6.75,43.75,1.5,950000
249.75,64.5,10.5,1.5,3.75,17.25,6.0,930000
