rank,Name,Team,POS,Salary,Years,Total_Value,Avg_Annual,Contract_Length,Years_Active,Years_Signed,int_value,int_annual,int_salary
--,Steve Cishek,CHC,RP,"$6,500,000",2 (2018-19),"$13,000,000","$6,500,000",2,2018-19,2018,13000000,6500000,6500000
--,Juan Lagares,NYM,OF,"$6,500,000",5 (2015-19),"$23,553,696","$4,710,739",5,2015-19,2015,23553696,4710739,6500000
--,Mitch Moreland,BOS,1B,"$6,500,000",2 (2018-19),"$13,000,000","$6,500,000",2,2018-19,2018,13000000,6500000,6500000
--,Mike Moustakas,KC,3B,"$6,500,000",1 (2018),"$6,500,000","$6,500,000",1,2018,2018,6500000,6500000,6500000
--,Logan Morrison,MIN,1B,"$6,500,000",1 (2018),"$6,500,000","$6,500,000",1,2018,2018,6500000,6500000,6500000
--,Sonny Gray,NYY,SP,"$6,500,000",1 (2018),"$6,500,000","$6,500,000",1,2018,2018,6500000,6500000,6500000
--,Tanner Roark,WSH,SP,"$6,475,000",1 (2018),"$6,475,000","$6,475,000",1,2018,2018,6475000,6475000,6475000
--,Chris Archer,TB,SP,"$6,458,333",6 (2014-19),"$25,500,000","$4,250,000",6,2014-19,2014,25500000,4250000,6458333
--,Andrew Cashner,BAL,SP,"$6,346,755",2 (2018-19),"$16,000,000","$8,000,000",2,2018-19,2018,16000000,8000000,6346755
--,Adam Eaton,WSH,OF,"$6,300,000",5 (2015-19),"$23,500,000","$4,700,000",5,2015-19,2015,23500000,4700000,6300000
--,Jake Odorizzi,MIN,SP,"$6,300,000",1 (2018),"$6,300,000","$6,300,000",1,2018,2018,6300000,6300000,6300000
--,Jose Iglesias,DET,SS,"$6,275,000",1 (2018),"$6,275,000","$6,275,000",1,2018,2018,6275000,6275000,6275000
--,Steve Pearce,TOR,1B,"$6,250,000",2 (2017-18),"$12,500,000","$6,250,000",2,2017-18,2017,12500000,6250000,6250000
--,Jackie Bradley Jr.,BOS,OF,"$6,100,000",1 (2018),"$6,100,000","$6,100,000",1,2018,2018,6100000,6100000,6100000
--,Kevin Kiermaier,TB,OF,"$6,083,333",6 (2017-22),"$54,000,000","$9,000,000",6,2017-22,2017,54000000,9000000,6083333
--,Nicholas Castellanos,DET,OF,"$6,050,000",1 (2018),"$6,050,000","$6,050,000",1,2018,2018,6050000,6050000,6050000
--,Yan Gomes,CLE,C,"$6,033,333",6 (2014-19),"$23,000,000","$3,833,333",6,2014-19,2014,23000000,3833333,6033333
--,Tony Sipp,HOU,RP,"$6,000,000",3 (2016-18),"$18,000,000","$6,000,000",3,2016-18,2016,18000000,6000000,6000000
--,Jed Lowrie,OAK,2B,"$6,000,000",1 (2018),"$6,000,000","$6,000,000",1,2018,2018,6000000,6000000,6000000
--,Matt Joyce,OAK,OF,"$6,000,000",1 (2018),"$6,000,000","$6,000,000",1,2018,2018,6000000,6000000,6000000
--,Santiago Casilla,OAK,RP,"$6,000,000",2 (2017-18),"$11,000,000","$5,500,000",2,2017-18,2017,11000000,5500000,6000000
--,Alex Wood,LAD,SP,"$6,000,000",1 (2018),"$6,000,000","$6,000,000",1,2018,2018,6000000,6000000,6000000
--,Martin Perez,TEX,SP,"$6,000,000",1 (2018),"$6,000,000","$6,000,000",1,2018,2018,6000000,6000000,6000000
--,Eduardo Nunez,BOS,2B,"$6,000,000",1 (2018),"$6,000,000","$6,000,000",1,2018,2018,6000000,6000000,6000000
--,Mike Fiers,DET,SP,"$6,000,000",1 (2018),"$6,000,000","$6,000,000",1,2018,2018,6000000,6000000,6000000
--,Corey Dickerson,PIT,OF,"$5,950,000",1 (2018),"$5,950,000","$5,950,000",1,2018,2018,5950000,5950000,5950000
--,Adeiny Hechavarria,TB,SS,"$5,900,000",1 (2018),"$5,900,000","$5,900,000",1,2018,2018,5900000,5900000,5900000
--,Pedro Strop,CHC,RP,"$5,850,000",2 (2017-18),"$11,850,000","$5,925,000",2,2017-18,2017,11850000,5925000,5850000
--,Sean Rodriguez,PIT,1B,"$5,750,000",2 (2017-18),"$11,500,000","$5,750,000",2,2017-18,2017,11500000,5750000,5750000
--,Scooter Gennett,CIN,2B,"$5,700,000",1 (2018),"$5,700,000","$5,700,000",1,2018,2018,5700000,5700000,5700000
--,Matt Harvey,NYM,SP,"$5,625,000",1 (2018),"$5,625,000","$5,625,000",1,2018,2018,5625000,5625000,5625000
--,Kevin Gausman,BAL,SP,"$5,600,000",1 (2018),"$5,600,000","$5,600,000",1,2018,2018,5600000,5600000,5600000
--,Lonnie Chisenhall,CLE,OF,"$5,587,500",1 (2018),"$5,587,500","$5,587,500",1,2018,2018,5587500,5587500,5587500
--,David Phelps,SEA,RP,"$5,550,000",1 (2018),"$5,550,000","$5,550,000",1,2018,2018,5550000,5550000,5550000
--,Luke Gregerson,STL,RP,"$5,500,000",2 (2018-19),"$11,000,000","$5,500,000",2,2018-19,2018,11000000,5500000,5500000
--,Marc Rzepczynski,SEA,RP,"$5,500,000",2 (2017-18),"$11,000,000","$5,500,000",2,2017-18,2017,11000000,5500000,5500000
--,Anthony Swarzak,NYM,RP,"$5,500,000",2 (2018-19),"$14,000,000","$7,000,000",2,2018-19,2018,14000000,7000000,5500000
--,Shawn Kelley,WSH,RP,"$5,500,000",3 (2016-18),"$15,000,000","$5,000,000",3,2016-18,2016,15000000,5000000,5500000
--,Eric Thames,MIL,1B,"$5,333,333",3 (2017-19),"$16,000,000","$5,333,333",3,2017-19,2017,16000000,5333333,5333333
--,Roberto Osuna,TOR,RP,"$5,300,000",1 (2018),"$5,300,000","$5,300,000",1,2018,2018,5300000,5300000,5300000
--,Michael Wacha,STL,SP,"$5,300,000",1 (2018),"$5,300,000","$5,300,000",1,2018,2018,5300000,5300000,5300000
--,Alex Colome,TB,RP,"$5,300,000",1 (2018),"$5,300,000","$5,300,000",1,2018,2018,5300000,5300000,5300000
--,Raisel Iglesias,CIN,RP,"$5,214,285",7 (2014-20),"$27,000,000","$3,857,143",7,2014-20,2014,27000000,3857143,5214285
--,Brad Brach,BAL,RP,"$5,165,000",1 (2018),"$5,165,000","$5,165,000",1,2018,2018,5165000,5165000,5165000
--,Marwin Gonzalez,HOU,1B,"$5,125,000",1 (2018),"$5,125,000","$5,125,000",1,2018,2018,5125000,5125000,5125000
--,Cesar Hernandez,PHI,2B,"$5,100,000",1 (2018),"$5,100,000","$5,100,000",1,2018,2018,5100000,5100000,5100000
--,Dellin Betances,NYY,RP,"$5,100,000",1 (2018),"$5,100,000","$5,100,000",1,2018,2018,5100000,5100000,5100000
--,Jim Johnson,LAA,RP,"$5,000,000",2 (2017-18),"$10,000,000","$5,000,000",2,2017-18,2017,10000000,5000000,5000000
--,Collin McHugh,HOU,RP,"$5,000,000",1 (2018),"$5,000,000","$5,000,000",1,2018,2018,5000000,5000000,5000000
--,Curtis Granderson,TOR,OF,"$5,000,000",1 (2018),"$5,000,000","$5,000,000",1,2018,2018,5000000,5000000,5000000
--,Chase Anderson,MIL,SP,"$5,000,000",2 (2018-19),"$11,750,000","$5,875,000",2,2018-19,2018,11750000,5875000,5000000
--,Danny Salazar,CLE,SP,"$5,000,000",1 (2018),"$5,000,000","$5,000,000",1,2018,2018,5000000,5000000,5000000
--,Brandon Kintzler,WSH,RP,"$5,000,000",1 (2018),"$5,000,000","$5,000,000",1,2018,2018,5000000,5000000,5000000
--,Carlos Gonzalez,COL,OF,"$5,000,000",1 (2018),"$5,000,000","$5,000,000",1,2018,2018,5000000,5000000,5000000
--,Shelby Miller,ARI,SP,"$4,900,000",1 (2018),"$4,900,000","$4,900,000",1,2018,2018,4900000,4900000,4900000
--,James Paxton,SEA,SP,"$4,900,000",1 (2018),"$4,900,000","$4,900,000",1,2018,2018,4900000,4900000,4900000
--,Eduardo Escobar,MIN,SS,"$4,850,000",1 (2018),"$4,850,000","$4,850,000",1,2018,2018,4850000,4850000,4850000
--,Taijuan Walker,ARI,SP,"$4,825,000",1 (2018),"$4,825,000","$4,825,000",1,2018,2018,4825000,4825000,4825000
--,Miguel Gonzalez,CWS,SP,"$4,750,000",1 (2018),"$4,750,000","$4,750,000",1,2018,2018,4750000,4750000,4750000
--,Ender Inciarte,ATL,OF,"$4,700,000",5 (2017-21),"$30,525,000","$6,105,000",5,2017-21,2017,30525000,6105000,4700000
--,Gregory Polanco,PIT,OF,"$4,700,000",5 (2017-21),"$35,000,000","$7,000,000",5,2017-21,2017,35000000,7000000,4700000
--,Wil Myers,SD,OF,"$4,666,666",6 (2017-22),"$83,000,000","$13,833,333",6,2017-22,2017,83000000,13833333,4666666
