,Espn_id,War_salary_prediction
177,28959,4820445
178,32116,3209497
179,31313,6905203
180,30016,-1
181,29564,-1
182,32796,14138678
183,30081,3304258
184,30892,5199492
185,30782,12559316
186,31606,8579326
187,29155,2925212
188,28729,-1
189,31283,12211857
190,30095,3083148
191,6352,5578539
192,28915,3809654
193,29705,5325841
194,29670,3809654
195,32081,9495355
196,30687,5610126
197,32863,6336632
198,30729,-1
199,32014,7094726
200,30456,-1
201,32815,8452977
202,30963,-1
203,31410,9369006
204,30452,4852033
205,29999,7063139
206,30536,4157114
207,32082,-1
208,31593,10632496
209,31003,7663296
210,30134,-1
211,32068,9937576
212,31654,6462981
213,30382,-1
214,28886,-1
215,32362,7758058
216,31446,13538521
217,31187,3493782
218,32108,6936790
219,28673,3399020
220,29074,6462981
221,29124,5957586
222,6060,4188701
223,32620,-1
224,31098,4725684
225,30290,-1
226,30773,-1
227,31684,7852819
228,31049,-1
229,29763,-1
230,29105,-1
231,31175,7157900
232,31214,-1
233,32667,7600122
234,30523,5768062
235,31124,-1
236,30276,4346637
237,30366,-1
238,30153,-1
239,30258,2956799
240,30709,-1
241,32693,6842028
242,32640,6526156
243,31255,4536160
244,33618,7442185
245,31000,4883620
246,30327,6620917
247,31130,6368220
248,31122,6747266
249,28531,-1
250,32569,-1
251,6125,-1
252,32690,6873615
253,32095,8326628
254,30959,-1
255,28658,8800436
256,30738,6968377
257,31980,7442185
258,30272,-1
259,31864,5167905
260,29310,-1
261,31327,12938363
262,32950,4852033
263,31265,6431394
264,32558,2577752
265,32762,5925998
266,31042,6589330
267,29694,6526156
268,32206,5704888
269,5111,-1
270,30283,-1
271,31173,6115522
272,31745,-1
273,31077,4157114
274,32742,6115522
275,30175,-1
276,31026,-1
277,32061,6589330
278,31983,-1
279,31053,5420603
280,33173,11043129
281,32058,5546952
282,30898,-1
283,30089,4536160
284,6470,3399020
285,30157,4757271
286,30115,-1
287,31359,-1
288,30370,-1
289,28762,-1
290,6211,-1
291,29590,-1
292,28561,6052347
293,32175,6368220
294,31136,5262667
295,30289,4378224
296,31992,-1
297,30461,7884407
298,32738,5673301
299,33206,4852033
300,30632,5736475
301,32868,12338206
302,28802,-1
303,28960,4883620
304,30953,-1
305,29951,3367433
306,32087,6684092
307,31087,3809654
308,30862,4220288
309,31453,5167905
310,30627,2640927
311,32563,-1
312,30212,-1
313,32170,4346637
314,31101,-1
315,33384,7947581
316,32859,9653291
317,31513,-1
318,6455,-1
319,32562,-1
320,32656,11074717
321,32146,7157900
322,34892,5799650
323,31032,-1
324,-1,-1
325,30369,-1
326,31816,-1
327,29453,-1
328,30944,3683305
329,6524,-1
330,30285,5452190
331,28973,-1
332,29195,-1
333,31462,-1
334,29691,7031551
335,32657,5325841
336,31730,9590117
337,32163,4030765
338,32595,-1
339,32367,7379011
340,31784,3999177
341,32177,8768849
342,39832,5167905
343,32603,-1
344,31253,5862824
345,6128,-1
346,32566,4978382
347,39842,4536160
348,30708,-1
349,31540,4346637
350,30991,-1
351,32178,-1
352,31254,7884407
353,31399,6620917
354,31392,5420603
355,31973,5483777
356,-1,-1
357,6486,2893624
358,28525,-1
359,29180,-1
360,31549,-1
361,29168,-1
362,30058,-1
363,29229,5104730
364,-1,-1
365,30546,3367433
366,31465,-1
367,31591,4188701
368,29732,4346637
369,32675,6999964
370,32046,4788858
371,33636,5925998
372,32264,5483777
373,32135,-1
374,32155,4662509
375,29436,-1
376,33696,6842028
377,5906,-1
378,31093,3304258
379,30361,4251875
380,30445,5768062
381,30841,4852033
382,31819,3714892
383,30213,-1
384,33155,-1
385,32185,-1
